source_id,article_url,claim_scope,required_source_authority,jurisdiction,source_url,source_title,effective_date,reviewer,verification_status,next_review,notes
SEP-USED-01,https://www.driverightcarbuying.com/blog-used-car-inspection-checklist.html,#before-visit: NMVTIS title history through approved providers,TxDMV,Texas,https://www.txdmv.gov/motorists/buying-or-selling-a-vehicle/title-check-look-before-you-buy,Title Check - Look before you buy,Not stated; current agency guidance,qualified_consumer_law_reviewer,primary_source_checked_pending_qualified_review,,How To Do a Title Check; original worksheet questions are not agency requirements; retrieved 2026-09-05; reverified 2026-09-18; exact draft in repository; approval and next review unassigned; exact September 18 draft hash and reviewer questions in docs/seo-execution/SEO-05.md and linked per-page packet; proposed exact copy is private at draft-artifacts/guides/blog-used-car-inspection-checklist.html; article_url is the proposed future public canonical; root retains September 5 editorial body plus authorized service CTA; SEO-03 also relocates unchanged GTM bootstrap after blocking CSS
SEP-USED-02,https://www.driverightcarbuying.com/blog-used-car-inspection-checklist.html,#before-visit and #inspection: Buyers Guide warranty status; history does not replace inspection; certified cars; report and inspection alternatives; mechanical inspection differs from safety inspection,FTC,United States,https://consumer.ftc.gov/articles/buying-used-car-dealer,Buying a Used Car From a Dealer,April 2024 publication; no statutory effective date asserted,qualified_consumer_law_and_mechanical_reviewer,primary_source_checked_pending_qualified_review,,Dealer Sales and the Buyers Guide; Get an Independent Inspection Before You Buy; retrieved 2026-09-05; reverified 2026-09-18; exact draft in repository; approval and next review unassigned; exact September 18 draft hash and reviewer questions in docs/seo-execution/SEO-05.md and linked per-page packet; proposed exact copy is private at draft-artifacts/guides/blog-used-car-inspection-checklist.html; article_url is the proposed future public canonical; root retains September 5 editorial body plus authorized service CTA; SEO-03 also relocates unchanged GTM bootstrap after blocking CSS
SEP-USED-03,https://www.driverightcarbuying.com/blog-used-car-inspection-checklist.html,#walkaround: VIN recall lookup and omissions for repaired and newly announced recalls,NHTSA,United States,https://www.nhtsa.gov/recalls,Check for Recalls,Not stated; current lookup documentation,qualified_safety_reviewer,primary_source_checked_pending_qualified_review,,What will / will not the license plate and VIN search show; recheck exact VIN at purchase; retrieved 2026-09-05; reverified 2026-09-18; exact draft in repository; approval and next review unassigned; exact September 18 draft hash and reviewer questions in docs/seo-execution/SEO-05.md and linked per-page packet; proposed exact copy is private at draft-artifacts/guides/blog-used-car-inspection-checklist.html; article_url is the proposed future public canonical; root retains September 5 editorial body plus authorized service CTA; SEO-03 also relocates unchanged GTM bootstrap after blocking CSS
SEP-ADD-01,https://www.driverightcarbuying.com/blog-dealership-addons-complete-guide.html,#itemize: extended warranty GAP credit insurance generally optional; request written requirement,CFPB,United States,https://www.consumerfinance.gov/ask-cfpb/am-i-required-to-purchase-an-extended-warranty-or-guaranteed-asset-protection-gap-insurance-from-a-lender-or-dealer-to-get-an-auto-loan-en-807/,Am I required to purchase an extended warranty GAP or credit insurance?,Reviewed 2024-03-05; modified 2024-03-11; no statutory effective date asserted,qualified_consumer_finance_reviewer,primary_source_checked_pending_qualified_review,,Opening answer and What if a dealer or lender makes it hard to turn down optional products; retrieved 2026-09-05; reverified 2026-09-18; exact draft in repository; approval and next review unassigned; exact September 18 draft hash and reviewer questions in docs/seo-execution/SEO-05.md and linked per-page packet; proposed exact copy is private at draft-artifacts/guides/blog-dealership-addons-complete-guide.html; article_url is the proposed future public canonical; root retains September 5 editorial body plus authorized service CTA; SEO-03 also relocates unchanged GTM bootstrap after blocking CSS
SEP-ADD-02,https://www.driverightcarbuying.com/blog-dealership-addons-complete-guide.html,#products: GAP may cover some or all loan/value gap after covered loss,CFPB,United States,https://www.consumerfinance.gov/ask-cfpb/what-kind-of-auto-insurance-options-are-available-when-financing-a-car-en-731/,What kind of auto insurance options are available when financing a car?,Reviewed 2024-03-08; modified 2024-10-07; contract-specific coverage,qualified_insurance_reviewer,primary_source_checked_pending_qualified_review,,GAP insurance section; no identical-coverage or guaranteed-full-payment claim; retrieved 2026-09-05; reverified 2026-09-18; exact draft in repository; approval and next review unassigned; exact September 18 draft hash and reviewer questions in docs/seo-execution/SEO-05.md and linked per-page packet; proposed exact copy is private at draft-artifacts/guides/blog-dealership-addons-complete-guide.html; article_url is the proposed future public canonical; root retains September 5 editorial body plus authorized service CTA; SEO-03 also relocates unchanged GTM bootstrap after blocking CSS
SEP-ADD-03,https://www.driverightcarbuying.com/blog-dealership-addons-complete-guide.html,#products: optional separately sold service contract; warranty overlap; exclusions deductible administrator and authorization questions,FTC,United States,https://consumer.ftc.gov/articles/auto-warranties-and-auto-service-contracts,Auto Warranties and Auto Service Contracts,April 2024 publication; no statutory effective date asserted,qualified_warranty_reviewer,primary_source_checked_pending_qualified_review,,Differences; Facts About Auto Service Contracts. No universal value or markup assertions; retrieved 2026-09-05; reverified 2026-09-18; exact draft in repository; approval and next review unassigned; exact September 18 draft hash and reviewer questions in docs/seo-execution/SEO-05.md and linked per-page packet; new hypothetical deductible-basis example and unknown-term decision state remain pending exact-copy review; proposed exact copy is private at draft-artifacts/guides/blog-dealership-addons-complete-guide.html; article_url is the proposed future public canonical; root retains September 5 editorial body plus authorized service CTA; SEO-03 also relocates unchanged GTM bootstrap after blocking CSS
SEP-ADD-04,https://www.driverightcarbuying.com/blog-dealership-addons-complete-guide.html,#cost: add-on cost financed over loan term and benefits may expire earlier,CFPB,United States,https://www.consumerfinance.gov/archive/blog/overcharging-for-add-on-products-on-auto-loans/,Overcharging for add-on products on auto loans,Published 2022-05-02; archived explanatory guidance,qualified_consumer_finance_reviewer,primary_source_checked_pending_qualified_review,,Opening financing discussion; used for mechanism only not current enforcement policy. Hypothetical arithmetic independently checked; retrieved 2026-09-05; reverified 2026-09-18; exact draft in repository; approval and next review unassigned; exact September 18 draft hash and reviewer questions in docs/seo-execution/SEO-05.md and linked per-page packet; proposed exact copy is private at draft-artifacts/guides/blog-dealership-addons-complete-guide.html; article_url is the proposed future public canonical; root retains September 5 editorial body plus authorized service CTA; SEO-03 also relocates unchanged GTM bootstrap after blocking CSS
SEP-NEW-01,https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,#msrp: manufacturer suggested price differs from total cost,CFPB,United States,https://www.consumerfinance.gov/ask-cfpb/what-factors-into-the-price-of-a-car-or-vehicle-en-723/,What factors into the price of a car or vehicle?,Reviewed 2023-09-12; modified 2023-09-14; no statutory effective date asserted,qualified_consumer_finance_reviewer,primary_source_checked_pending_qualified_review,,Opening definition and other costs; no invoice-cost assertion; retrieved 2026-09-05; reverified 2026-09-18; exact draft in repository; approval and next review unassigned; exact September 18 draft hash and reviewer questions in docs/seo-execution/SEO-05.md and linked per-page packet; proposed exact copy is private at draft-artifacts/guides/blog-buy-new-car-below-msrp.html; article_url is the proposed future public canonical; root retains September 5 editorial body plus authorized service CTA; SEO-03 also relocates unchanged GTM bootstrap after blocking CSS
SEP-NEW-02,https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,#request and final documents: written out-the-door total availability promotion restrictions and matching contract,FTC,United States,https://consumer.ftc.gov/articles/car-dealer-ads-and-promotions-know-you-go,Car Dealer Ads and Promotions: Know Before You Go,July 2022 publication; no statutory effective date asserted,qualified_consumer_law_reviewer,primary_source_checked_pending_qualified_review,,Know Before You Go; Low prices or special discounts; Before You Sign a Contract. No current incentive claimed; retrieved 2026-09-05; reverified 2026-09-18; exact draft in repository; approval and next review unassigned; exact September 18 draft hash and reviewer questions in docs/seo-execution/SEO-05.md and linked per-page packet; proposed exact copy is private at draft-artifacts/guides/blog-buy-new-car-below-msrp.html; article_url is the proposed future public canonical; root retains September 5 editorial body plus authorized service CTA; SEO-03 also relocates unchanged GTM bootstrap after blocking CSS
SEP-NEW-03,https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,#compare: APR term amount financed total payments and separate trade-in/payoff comparison,FTC,United States,https://consumer.ftc.gov/articles/financing-or-leasing-car,Financing or Leasing a Car,July 2022 publication; no statutory effective date asserted,qualified_consumer_finance_reviewer,primary_source_checked_pending_qualified_review,,Before You Buy; Factoring in a Trade-in; Financing a Car. Original examples use invented amounts not rates or tax estimates; retrieved 2026-09-05; reverified 2026-09-18; exact draft in repository; approval and next review unassigned; exact September 18 draft hash and reviewer questions in docs/seo-execution/SEO-05.md and linked per-page packet; added original instruction to count an included discount/rebate once and separate unverified rebate scenario; proposed exact copy is private at draft-artifacts/guides/blog-buy-new-car-below-msrp.html; article_url is the proposed future public canonical; root retains September 5 editorial body plus authorized service CTA; SEO-03 also relocates unchanged GTM bootstrap after blocking CSS
