source_id,article_url,claim_scope,required_source_authority,jurisdiction,source_url,source_title,effective_date,reviewer,verification_status,next_review,notes
SRC-TITLE-001,https://www.driverightcarbuying.com/blog-texas-title-transfer.html,"Title-transfer process forms timing and seller/buyer responsibilities",Texas Department of Motor Vehicles,Texas,,,,qualified_legal_reviewer,required_not_collected,,"Collect the current primary page and form instructions; record retrieved and effective dates"
SRC-TITLE-002,https://www.driverightcarbuying.com/blog-texas-title-transfer.html,"Motor-vehicle tax standard presumptive value and gift-transfer treatment",Texas Comptroller of Public Accounts,Texas,,,,qualified_legal_reviewer,required_not_collected,,"Do not infer current tax rates or exceptions from memory"
SRC-TITLE-003,https://www.driverightcarbuying.com/blog-texas-title-transfer.html,"Odometer disclosure and any federal transfer requirement",Federal primary authority,United States,,,,qualified_legal_reviewer,required_not_collected,,"Use only if the final article retains the applicable claim"
SRC-LAWS-001,https://www.driverightcarbuying.com/blog-texas-car-buying-laws.html,"Texas Lemon Law scope including any used-vehicle qualification",Texas statute and administering agency,Texas,,,,qualified_legal_reviewer,required_not_collected,,"Resolve the direct contradiction with the private-party article through qualified review"
SRC-LAWS-002,https://www.driverightcarbuying.com/blog-texas-car-buying-laws.html,"Dealer disclosure advertising contract and complaint rights",Texas statute or responsible Texas agency,Texas,,,,qualified_legal_reviewer,required_not_collected,,"Map every retained legal proposition to a specific current primary source"
SRC-LAWS-003,https://www.driverightcarbuying.com/blog-texas-car-buying-laws.html,"Federal credit and auto-sale disclosures",Federal statute regulation or responsible agency,United States,,,,qualified_legal_reviewer,required_not_collected,,"Separate Texas requirements from federal requirements in copy"
SRC-SPOT-001,https://www.driverightcarbuying.com/blog-spot-delivery-scam.html,"Conditional delivery financing finality and buyer obligations",Texas statute and responsible agency,Texas,,,,qualified_legal_reviewer,required_not_collected,,"Verify terminology and avoid characterizing every conditional delivery as fraud"
SRC-SPOT-002,https://www.driverightcarbuying.com/blog-spot-delivery-scam.html,"Consumer complaint and escalation pathways",Texas Attorney General or responsible Texas regulator,Texas,,,,qualified_legal_reviewer,required_not_collected,,"Confirm current contact route and remedy limits immediately before publication"
SRC-SPOT-003,https://www.driverightcarbuying.com/blog-spot-delivery-scam.html,"Federal auto-finance consumer guidance",Federal responsible agency,United States,,,,qualified_legal_reviewer,required_not_collected,,"Retain only if it directly supports the final federal claim"
SRC-PRIVATE-001,https://www.driverightcarbuying.com/blog-private-party-vs-dealership.html,"Private-party title registration plate and tax process",Texas Department of Motor Vehicles and Texas Comptroller,Texas,,,,qualified_legal_reviewer,required_not_collected,,"Link each procedural claim to the relevant primary instruction"
SRC-PRIVATE-002,https://www.driverightcarbuying.com/blog-private-party-vs-dealership.html,"Warranty as-is dealer duty and private-party remedy distinctions",Texas statute or responsible Texas agency,Texas,,,,qualified_legal_reviewer,required_not_collected,,"Do not publish broad legal comparisons until reviewed"
SRC-PRIVATE-003,https://www.driverightcarbuying.com/blog-private-party-vs-dealership.html,"Texas Lemon Law scope including any qualifying used vehicle",Texas statute and administering agency,Texas,,,,qualified_legal_reviewer,required_not_collected,,"Resolve the direct contradiction with the Texas car-buying-laws article"
SRC-PRIVATE-004,https://www.driverightcarbuying.com/blog-private-party-vs-dealership.html,"Dealer-versus-private pricing financing or risk comparison",Documented first-party dataset with methodology,Texas,,,,claims_reviewer,required_not_collected,,"Keep empirical comparisons separate from legal conclusions"
HUB-RULES-001,https://www.driverightcarbuying.com/texas-car-buying-rules-paperwork.html,"Texas vehicle buying and selling process overview",Texas Department of Motor Vehicles,Texas,https://www.txdmv.gov/motorists/buying-or-selling-a-vehicle,Texas Department of Motor Vehicles: Buying or Selling a Vehicle,,qualified_legal_reviewer,link_verified_content_review_pending,,"Public source link verified; map retained procedural language to the current agency instructions before indexing"
HUB-RULES-002,https://www.driverightcarbuying.com/texas-car-buying-rules-paperwork.html,"Vehicle title and identity checks before purchase",Texas Department of Motor Vehicles,Texas,https://www.txdmv.gov/motorists/buying-or-selling-a-vehicle/title-check-look-before-you-buy,Texas Department of Motor Vehicles: Title Check,,qualified_legal_reviewer,link_verified_content_review_pending,,"Public source link verified; qualified review of the exact page copy remains required"
HUB-RULES-003,https://www.driverightcarbuying.com/texas-car-buying-rules-paperwork.html,"Texas motor-vehicle tax information",Texas Comptroller of Public Accounts,Texas,https://comptroller.texas.gov/taxes/motor-vehicle/,Texas Comptroller: Motor Vehicle Taxes,,qualified_legal_reviewer,link_verified_content_review_pending,,"Do not publish a rate or exception without recording its effective date and exact supporting section"
HUB-FIN-001,https://www.driverightcarbuying.com/auto-financing-credit-fi.html,"Dealer-arranged and direct vehicle financing distinctions",Consumer Financial Protection Bureau,United States,https://www.consumerfinance.gov/ask-cfpb/what-is-the-difference-between-dealer-arranged-and-bank-financing-en-759/,Consumer Financial Protection Bureau: Ways to Finance a Vehicle,,qualified_finance_reviewer,link_verified_content_review_pending,,"Public source link verified; exact finance wording and applicability still require qualified review"
HUB-FIN-002,https://www.driverightcarbuying.com/auto-financing-credit-fi.html,"Vehicle financing and leasing comparison considerations",Federal Trade Commission,United States,https://consumer.ftc.gov/articles/financing-or-leasing-car,Federal Trade Commission: Financing or Leasing a Car,,qualified_finance_reviewer,link_verified_content_review_pending,,"Public source link verified; do not infer lender terms or approval outcomes"
HUB-FIN-003,https://www.driverightcarbuying.com/auto-financing-credit-fi.html,"Authorized consumer credit-report access route",Federal consumer credit-report source,United States,https://www.annualcreditreport.com/,AnnualCreditReport.com,,qualified_finance_reviewer,link_verified_content_review_pending,,"Public source link verified; confirm any retained eligibility or frequency statement immediately before indexing"
HUB-USED-001,https://www.driverightcarbuying.com/used-car-due-diligence.html,"Texas title checks for a prospective used vehicle",Texas Department of Motor Vehicles,Texas,https://www.txdmv.gov/motorists/buying-or-selling-a-vehicle/title-check-look-before-you-buy,Texas Department of Motor Vehicles: Title Check,,qualified_legal_reviewer,link_verified_content_review_pending,,"Public source link verified; qualified review remains required before indexing"
HUB-USED-002,https://www.driverightcarbuying.com/used-car-due-diligence.html,"Used-car dealer shopping and disclosure considerations",Federal Trade Commission,United States,https://consumer.ftc.gov/articles/buying-used-car-dealer,Federal Trade Commission: Buying a Used Car From a Dealer,,qualified_consumer_law_reviewer,link_verified_content_review_pending,,"Public source link verified; map each consequential statement to the current source text"
HUB-USED-003,https://www.driverightcarbuying.com/used-car-due-diligence.html,"Vehicle safety recall lookup",National Highway Traffic Safety Administration,United States,https://www.nhtsa.gov/recalls,National Highway Traffic Safety Administration: Recalls,,qualified_safety_reviewer,link_verified_content_review_pending,,"Public source link verified; avoid implying that a recall search replaces inspection or professional advice"
HUB-NEW-001,https://www.driverightcarbuying.com/new-car-pricing-incentives.html,"Car dealer advertisement and promotion review",Federal Trade Commission,United States,https://consumer.ftc.gov/articles/car-dealer-ads-and-promotions-know-you-go,Federal Trade Commission: Car Dealer Ads and Promotions,,qualified_consumer_law_reviewer,link_verified_content_review_pending,,"Public source link verified; exact advertising guidance still requires qualified review"
HUB-NEW-002,https://www.driverightcarbuying.com/new-car-pricing-incentives.html,"Financing and leasing comparison considerations",Federal Trade Commission,United States,https://consumer.ftc.gov/articles/financing-or-leasing-car,Federal Trade Commission: Financing or Leasing a Car,,qualified_finance_reviewer,link_verified_content_review_pending,,"Public source link verified; current offer and incentive terms must come from transaction-specific documents"
HUB-NEW-003,https://www.driverightcarbuying.com/new-car-pricing-incentives.html,"Current clean-vehicle tax-credit status",Internal Revenue Service,United States,https://www.irs.gov/clean-vehicle-tax-credits,Internal Revenue Service: Clean Vehicle Tax Credits,,qualified_tax_reviewer,link_verified_content_review_pending,,"Time-sensitive source; record retrieved date and applicable transaction date before any tax-credit statement is indexed"
HUB-TCO-001,https://www.driverightcarbuying.com/vehicle-selection-total-cost.html,"Vehicle safety rating research",National Highway Traffic Safety Administration,United States,https://www.nhtsa.gov/ratings,National Highway Traffic Safety Administration: Vehicle Safety Ratings,,qualified_safety_reviewer,link_verified_content_review_pending,,"Public source link verified; ratings are an input and not a universal safety guarantee"
HUB-TCO-002,https://www.driverightcarbuying.com/vehicle-selection-total-cost.html,"Vehicle safety recall lookup",National Highway Traffic Safety Administration,United States,https://www.nhtsa.gov/recalls,National Highway Traffic Safety Administration: Recalls,,qualified_safety_reviewer,link_verified_content_review_pending,,"Public source link verified; avoid implying that a recall search replaces inspection or professional advice"
HUB-TCO-003,https://www.driverightcarbuying.com/vehicle-selection-total-cost.html,"Vehicle fuel-economy comparison",U.S. Department of Energy and Environmental Protection Agency,United States,https://www.fueleconomy.gov/feg/Find.do?action=sbsSelect,FuelEconomy.gov: Compare Side by Side,,qualified_cost_methodology_reviewer,link_verified_content_review_pending,,"Public source link verified; any ownership-cost example needs dated assumptions and a reproducible method"
HUB-LOCAL-001,https://www.driverightcarbuying.com/texas-local-market-intelligence.html,"Texas vehicle buying and selling process overview",Texas Department of Motor Vehicles,Texas,https://www.txdmv.gov/motorists/buying-or-selling-a-vehicle,Texas Department of Motor Vehicles: Buying or Selling a Vehicle,,editorial_reviewer,link_verified_content_review_pending,,"Navigation source link verified; this page does not substitute for local office or transaction-specific instructions"
HUB-LOCAL-002,https://www.driverightcarbuying.com/texas-local-market-intelligence.html,"Texas Department of Motor Vehicles in-person service locations",Texas Department of Motor Vehicles,Texas,https://www.txdmv.gov/motorists/in-person-services,Texas Department of Motor Vehicles: In-Person Services,,editorial_reviewer,link_verified_content_review_pending,,"Public source link verified; confirm current office and appointment details at the agency before travel"
ARTICLE-USED-001,https://www.driverightcarbuying.com/blog-used-car-inspection-checklist.html,"Texas title-check starting point",Texas Department of Motor Vehicles,Texas,https://www.txdmv.gov/motorists/buying-or-selling-a-vehicle/title-check-look-before-you-buy,Texas Department of Motor Vehicles: Title Check,,qualified_legal_reviewer,link_verified_content_review_pending,,"Article limits this to a starting point and requires transaction-specific verification"
ARTICLE-USED-002,https://www.driverightcarbuying.com/blog-used-car-inspection-checklist.html,"Used-car dealer sale information",Federal Trade Commission,United States,https://consumer.ftc.gov/articles/buying-used-car-dealer,Federal Trade Commission: Buying a Used Car From a Dealer,,qualified_consumer_law_reviewer,link_verified_content_review_pending,,"Map final dealer and Buyers Guide wording to the current source before release"
ARTICLE-USED-003,https://www.driverightcarbuying.com/blog-used-car-inspection-checklist.html,"Vehicle recall lookup",National Highway Traffic Safety Administration,United States,https://www.nhtsa.gov/recalls,National Highway Traffic Safety Administration: Recalls,,qualified_safety_reviewer,link_verified_content_review_pending,,"Recall lookup does not replace a condition or safety inspection"
ARTICLE-NEW-001,https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,"Dealer advertisement and promotion review",Federal Trade Commission,United States,https://consumer.ftc.gov/articles/car-dealer-ads-and-promotions-know-you-go,Federal Trade Commission: Car Dealer Ads and Promotions,,qualified_consumer_law_reviewer,link_verified_content_review_pending,,"Verify exact final wording and recheck promotion conditions at transaction time"
ARTICLE-NEW-002,https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,"Financing and leasing comparison considerations",Federal Trade Commission,United States,https://consumer.ftc.gov/articles/financing-or-leasing-car,Federal Trade Commission: Financing or Leasing a Car,,qualified_finance_reviewer,link_verified_content_review_pending,,"Do not infer approval rates terms or savings; signed transaction documents control"
SEP-USED-01,https://www.driverightcarbuying.com/blog-used-car-inspection-checklist.html,#before-visit: NMVTIS title history through approved providers,TxDMV,Texas,https://www.txdmv.gov/motorists/buying-or-selling-a-vehicle/title-check-look-before-you-buy,Title Check - Look before you buy,Not stated; current agency guidance,qualified_consumer_law_reviewer,primary_source_checked_pending_qualified_review,,How To Do a Title Check; original worksheet questions are not agency requirements; retrieved 2026-09-05; exact draft in repository; approval and next review unassigned
SEP-USED-02,https://www.driverightcarbuying.com/blog-used-car-inspection-checklist.html,#before-visit and #inspection: Buyers Guide warranty status; history does not replace inspection; certified cars; report and inspection alternatives,FTC,United States,https://consumer.ftc.gov/articles/buying-used-car-dealer,Buying a Used Car From a Dealer,April 2024 publication; no statutory effective date asserted,qualified_consumer_law_and_mechanical_reviewer,primary_source_checked_pending_qualified_review,,Dealer Sales and the Buyers Guide; Get an Independent Inspection Before You Buy; retrieved 2026-09-05; exact draft in repository; approval and next review unassigned
