query,intent,preferred_url,source_type,evidence_date,window_start,window_end,clicks,impressions,ctr_percent,average_position,priority,implementation_dependency,release_constraint,notes
car buying service,nationwide_service,https://www.driverightcarbuying.com/,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,184,0,35.1,P1,SEO-01;SEO-04,core_release,"Property query metrics; preferred URL is an editorial recommendation"
car buying services,nationwide_service,https://www.driverightcarbuying.com/,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,55,0,38.2,P1,SEO-01;SEO-04,core_release,Consolidate synonyms on homepage
used car buying service,nationwide_service,https://www.driverightcarbuying.com/,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,22,0,46.5,P1,SEO-04,core_release,Explain supported used and CPO research without inspection guarantees
car buying agent,nationwide_service,https://www.driverightcarbuying.com/,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,31,0,22.0,P1,SEO-01;SEO-04,core_release,General service intent; do not restore retired AI offer
car buying service online,nationwide_service,https://www.driverightcarbuying.com/,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,2,0,76.5,P2,SEO-04,core_release,Small observed sample; clarify remote workflow
new car buying service,nationwide_service,https://www.driverightcarbuying.com/,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,1,0,31.0,P2,SEO-04,core_release,No separate synonym page
nationwide car buying service,nationwide_service,https://www.driverightcarbuying.com/,exploratory_seed,2026-09-18,,,,,,,P1,SEO-04,core_release,Unmeasured seed from runbook and competitor research
car buying concierge,concierge,https://www.driverightcarbuying.com/,exploratory_seed,2026-09-18,,,,,,,P1,SEO-04,core_release,Broad homepage role with supported $895 tier detail on pricing page
nationwide car concierge,concierge,https://www.driverightcarbuying.com/,exploratory_seed,2026-09-18,,,,,,,P2,SEO-04,core_release,Retain Austin base; no local offices implied
car negotiation service,negotiation_help,https://www.driverightcarbuying.com/how-it-works.html,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,17,0,20.5,P1,SEO-04,core_release,Process and buyer approval points
car negotiator,negotiation_help,https://www.driverightcarbuying.com/how-it-works.html,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,14,0,21.6,P1,SEO-04,core_release,Explain actual assistance and deliverables
vehicle negotiator,negotiation_help,https://www.driverightcarbuying.com/how-it-works.html,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,9,0,22.2,P2,SEO-04,core_release,Same preferred process URL
car negotiators,negotiation_help,https://www.driverightcarbuying.com/how-it-works.html,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,4,0,11.0,P2,SEO-04,core_release,Low sample; no ranking claim
new car negotiation service,negotiation_help,https://www.driverightcarbuying.com/how-it-works.html,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,2,0,24.5,P2,SEO-04,core_release,Link to new-car quote guide only when eligible
hire someone to negotiate car price,negotiation_help,https://www.driverightcarbuying.com/how-it-works.html,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,1,0,1.0,P2,SEO-04,core_release,One impression is not a stable first-position ranking
car buying service cost,service_cost,https://www.driverightcarbuying.com/schedule.html,exploratory_seed,2026-09-18,,,,,,,P1,SEO-01;SEO-04,checkout_price_parity,Explain $295 and $895 one-time fees and exclusions
car buying service fees,service_cost,https://www.driverightcarbuying.com/schedule.html,exploratory_seed,2026-09-18,,,,,,,P1,SEO-01;SEO-04,checkout_price_parity,Do not imply savings guarantee or all-inclusive vehicle cost
car buying concierge cost,service_cost,https://www.driverightcarbuying.com/schedule.html,exploratory_seed,2026-09-18,,,,,,,P1,SEO-04,checkout_price_parity,Explain what $895 adds to $295 Full Service
car buying service comparison,service_cost,https://www.driverightcarbuying.com/schedule.html,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,1,0,30.0,P2,SEO-04,core_release,Compare own service scopes without unsupported competitor equivalence
auto broker fees,service_cost,https://www.driverightcarbuying.com/schedule.html,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,1,0,71.0,P3,SEO-04,claim_review,Adjacent intent; do not claim broker licensing without evidence
is a car buying service worth it,service_cost,https://www.driverightcarbuying.com/how-it-works.html,exploratory_seed,2026-09-18,,,,,,,P2,SEO-04,claim_review,Explain time/work tradeoffs; no unsupported ROI benchmark
compare dealer quotes,quote_comparison,https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,exploratory_seed,2026-09-18,,,,,,,P1,SEO-05;SEO-06,editorial_review_required,Existing guide owns explanatory intent; add worksheet utility when eligible
out the door price comparison,quote_comparison,https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,exploratory_seed,2026-09-18,,,,,,,P1,SEO-05;SEO-06,editorial_review_required,Separate vehicle price line items incentives and missing values
car quote comparison worksheet,quote_comparison,https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,exploratory_seed,2026-09-18,,,,,,,P1,SEO-06,editorial_review_required,Integrating owner may link the new worksheet utility from this guide
buy a new car below MSRP,quote_comparison,https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,exploratory_seed,2026-09-18,,,,,,,P2,SEO-05,editorial_review_required,No universal below-MSRP promise
how to buy a new car below invoice,quote_comparison,https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,1,0,29.0,P3,SEO-05,editorial_review_required,Adjacent concept; explain invoice versus total quote without guaranteed target
dealer add ons,dealership_addons,https://www.driverightcarbuying.com/blog-dealership-addons-complete-guide.html,exploratory_seed,2026-09-18,,,,,,,P1,SEO-05,editorial_review_required,Source-backed questions and itemized quote example
dealership add ons optional,dealership_addons,https://www.driverightcarbuying.com/blog-dealership-addons-complete-guide.html,exploratory_seed,2026-09-18,,,,,,,P1,SEO-05,editorial_review_required,Avoid unsupported universal legal claims
how to compare dealership fees,dealership_addons,https://www.driverightcarbuying.com/blog-dealership-addons-complete-guide.html,exploratory_seed,2026-09-18,,,,,,,P2,SEO-05;SEO-06,editorial_review_required,Connect line-item explanation to worksheet
used car inspection checklist,used_car_inspection,https://www.driverightcarbuying.com/blog-used-car-inspection-checklist.html,exploratory_seed,2026-09-18,,,,,,,P1,SEO-05,technical_safety_review_required,Buyer observations do not replace qualified inspection
pre purchase inspection checklist,used_car_inspection,https://www.driverightcarbuying.com/blog-used-car-inspection-checklist.html,exploratory_seed,2026-09-18,,,,,,,P1,SEO-05,technical_safety_review_required,Add inspection-request questions and report limitations
questions to ask used car inspector,used_car_inspection,https://www.driverightcarbuying.com/blog-used-car-inspection-checklist.html,exploratory_seed,2026-09-18,,,,,,,P2,SEO-05,technical_safety_review_required,Use qualified-review packet before indexable release
drive right,brand,https://www.driverightcarbuying.com/,gsc_observed,2026-09-18,2026-08-20,2026-09-16,0,1,0,3.0,P2,SEO-04,core_release,Exact lexical brand match but intent can still be ambiguous
drive right car buying reviews,brand_evidence,https://www.driverightcarbuying.com/about.html,exploratory_seed,2026-09-18,,,,,,,P2,SEO-04;SEO-06,customer_permission_required,Use only actual permissioned proof; no invented outcomes
car buying guides,resources,https://www.driverightcarbuying.com/blog.html,exploratory_seed,2026-09-18,,,,,,,P2,SEO-04;SEO-05,approved_content_only,Resources hub remains blog.html
