claim_id,claim_text,claim_class,status,evidence_required,observed_locations,conflict_or_risk,owner,reviewer,last_reviewed,expires_on,approved_copy
CLM-001,"Average clients save $2,400 or more",quantified_outcome,pending_evidence,"Dated client-level savings ledger; population definition; calculation method; sample size; period","index.html:436; index.html:753; index.html:967; schedule.html:21; schedule.html:163; arlington.html:255; austin.html:255; dallas.html:255; el-paso.html:255; fort-worth.html:255; houston.html:255; new-braunfels.html:255; san-antonio.html:255; san-marcos.html:255","Repeated as an average and as a minimum-like CTA; no calculation artifact found",business_owner,claims_reviewer,,,
CLM-002,"Drive Right saves buyers 12+ hours",quantified_outcome,pending_evidence,"Dated time-savings study or client records; methodology; sample size","index.html:441; arlington.html:250; austin.html:250; dallas.html:250; el-paso.html:250; fort-worth.html:250; houston.html:250; new-braunfels.html:250; san-antonio.html:250; san-marcos.html:250","Outcome figure is not the same as the operational 12-hour response/search SLA",business_owner,claims_reviewer,,,
CLM-003,"Full-service search begins within 12 hours",service_level,pending_owner_confirmation,"Written operating standard defining clock start; business hours; exceptions; fulfillment records","index.html:529; index.html:570; schedule.html:257; schedule.html:298; payment-success-fullservice.html:142; payment-success-fullservice.html:170","Confirmation pages alternately promise advisor outreach or search kickoff within 12 hours",operations_owner,claims_reviewer,,,
CLM-004,"Michael saved more than $5,000",testimonial,pending_testimonial_release,"Original customer statement; transaction record; written permission; scope of savings calculation","index.html:218; index.html:339; arlington.html:419; austin.html:419; dallas.html:419; el-paso.html:419; fort-worth.html:419; houston.html:419; new-braunfels.html:419; san-antonio.html:419; san-marcos.html:419","Homepage visible testimonial reports $7,000 at index.html:688 while schema/promo/local variants report $5,000",business_owner,legal_reviewer,,,
CLM-005,"Michael saved more than $7,000",testimonial,pending_testimonial_release,"Original customer statement; transaction record; written permission; scope of savings calculation",index.html:688,"Conflicts with $5,000 variants; structured and visible content must match",business_owner,legal_reviewer,,,
CLM-006,"Drive Right has helped hundreds of Texas buyers",experience_metric,pending_evidence,"Customer-count export; date range; definition of helped; deduplication method","blog-best-cars-under-30k.html:152; blog-best-cars-texas-families.html:150","Broad volume claim lacks a governed count and as-of date",business_owner,claims_reviewer,,,
CLM-007,"Drive Right negotiates hundreds of purchases per year",experience_metric,pending_evidence,"Completed-engagement ledger by calendar year; definition of negotiated purchase",blog-buy-new-car-below-msrp.html:190,"Annual volume claim is presented as the basis for a consumer advantage",business_owner,claims_reviewer,,,
CLM-008,"Drive Right has established dealer relationships spanning hundreds of franchises",relationship_claim,pending_evidence,"Current partner/contact inventory; definition of relationship; permission for any named references","blog-buy-new-car-below-msrp.html:185; blog-best-time-buy-car-texas.html:182","Could imply privileged access or commercial relationships not otherwise disclosed",business_owner,legal_reviewer,,,
CLM-009,"Drive Right's lender network can deliver rates 1-3 percentage points lower",financial_outcome,pending_evidence_and_qualified_review,"Dated loan-level comparison; borrower cohorts; lender authorization; calculation method",blog-best-auto-loan-rate-texas.html:180,"Consequential financial claim; requires qualified compliance review before reuse",business_owner,qualified_financial_reviewer,,,
CLM-010,"Drive Right secures the lowest available rate regardless of credit tier",absolute_financial_outcome,do_not_publish_without_proof,"Documented market coverage; eligibility limits; dated rate comparisons; qualified review",blog-credit-score-car-buying.html:194,"Absolute promise is unlikely to be supportable across every lender and borrower",business_owner,qualified_financial_reviewer,,,
CLM-011,"Savings Guarantee",guarantee,pending_owner_legal_review,"Executed guarantee terms; eligibility; exclusions; claim process; refund remedy; policy-page alignment","index.html:654; schedule.html:382","Policy page says results are not guaranteed and describes conditional refund terms",business_owner,legal_reviewer,,,
CLM-012,"Schedule a free consultation",price_claim,conflicts_with_current_offer,"Approved free-offer definition or removal decision; pricing-source alignment","blog-buy-new-car-below-msrp.html:193; blog-best-dealerships-dallas-fort-worth.html:231; blog-best-dealerships-san-antonio.html:233; blog-best-time-buy-car-texas.html:188; blog-leasing-vs-buying.html:202","Current consultation tier is displayed at $295 on schedule.html",business_owner,claims_reviewer,,,
CLM-013,"Zero kickbacks and no dealer commissions",independence_claim,pending_evidence,"Revenue-source attestation; contracts; referral/payment ledger; owner sign-off","index.html:656; schedule.html:384; about.html:221; blog-zero-kickbacks-promise.html:164","Must remain accurate across affiliates referrals financing and dealer relationships",business_owner,legal_reviewer,,,
CLM-014,"We negotiate the absolute best price",absolute_outcome,revise_to_bounded_language,"Defined comparison set; dated quotes; transaction evidence","arlington.html:238; austin.html:238; dallas.html:238; el-paso.html:238; fort-worth.html:238; houston.html:238; new-braunfels.html:238; san-antonio.html:238; san-marcos.html:238","Absolute outcome cannot be established from an unspecified market",business_owner,claims_reviewer,,,
CLM-015,"Finance-contract audit ensures exactly zero surprise fees or markups",guarantee,pending_owner_legal_review,"Written audit scope; exception handling; fulfillment evidence; qualified review","arlington.html:381; austin.html:381; dallas.html:381; el-paso.html:381; fort-worth.html:381; houston.html:381; new-braunfels.html:381; san-antonio.html:381; san-marcos.html:381","Exactly zero is a guarantee and may exceed the service's control",operations_owner,legal_reviewer,,,
CLM-016,"Founder has personally bought and sold 60+ vehicles",experience_metric,pending_evidence,"Dated vehicle ledger or records; counting rules; owner attestation","about.html:19; about.html:28; about.html:35; about.html:153; about.html:181","May be publishable after documentation and an as-of date are added",founder,claims_reviewer,,,
CLM-017,"Founder has never paid above market value and frequently resells vehicles at a profit",personal_financial_outcome,do_not_publish_without_proof,"Complete transaction ledger; market-value methodology; profit calculation; qualified review",about.html:50,"Schema-only claim is broader than visible biography and creates parity and substantiation risk",founder,legal_reviewer,,,
CLM-018,"Consultant $295; Full Service $495; Ultimate Concierge $895",price_claim,observed_current_pending_owner_confirmation,"Owner-approved pricing sheet; checkout verification; effective date","schedule.html:70; schedule.html:80; schedule.html:90; schedule.html:192; schedule.html:258; schedule.html:318","Treat schedule page as observed source of truth until owner signs the governed service record",business_owner,claims_reviewer,,,
CLM-019,"Texas Lemon Law does not cover used vehicles",legal_claim,contained_pending_qualified_review,"Current primary Texas authority; effective date; qualified Texas legal review",blog-texas-car-buying-laws.html:166,"Contradicts a qualifying-used-vehicle statement in blog-private-party-vs-dealership.html:165",editor,qualified_legal_reviewer,,,
CLM-020,"Qualifying used dealer vehicles receive Texas Lemon Law protection",legal_claim,contained_pending_qualified_review,"Current primary Texas authority; effective date; qualified Texas legal review",blog-private-party-vs-dealership.html:165,"Contradicts blog-texas-car-buying-laws.html:166; do not resolve from secondary summaries",editor,qualified_legal_reviewer,,,
