prompt_id,query_family,intent,funnel_stage,market,language,prompt_variant,wave_id,repeat_number,platform,model,account_condition,device_condition,location_condition,run_at,valid_run,our_domain_cited,our_url_cited,citation_order,competitor_domains,brand_treatment,claim_accuracy,click_opportunity,response_archive,notes
DR-RULES-01,texas_rules_paperwork,informational,mid,Texas,en-US,"What paperwork do I need to buy a used car from a private seller in Texas?",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
DR-RULES-02,texas_rules_paperwork,informational,mid,Texas,en-US,"Give me a step-by-step Texas vehicle title transfer checklist for a private-party purchase.",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
DR-RULES-03,texas_rules_paperwork,informational,mid,Texas,en-US,"Which official Texas sources should I check before transferring a vehicle title?",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
DR-FIN-01,financing_credit_fi,informational,mid,Texas,en-US,"How should a Texas car buyer compare a credit union loan bank loan and dealer financing?",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
DR-FIN-02,financing_credit_fi,informational,mid,Texas,en-US,"What dealer finance-office fees and add-ons should I evaluate before signing a car contract?",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
DR-FIN-03,financing_credit_fi,commercial_investigation,late,Texas,en-US,"Where can I get independent help reviewing auto financing and dealer add-ons in Texas?",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
DR-USED-01,used_car_due_diligence,informational,mid,Texas,en-US,"What should I check before buying a used car in Texas beyond a vehicle-history report?",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
DR-USED-02,used_car_due_diligence,informational,mid,Texas,en-US,"Create a used-car inspection and purchase checklist for a Texas buyer.",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
DR-USED-03,used_car_due_diligence,commercial_investigation,late,Texas,en-US,"Who can help me inspect source and negotiate a used car in Texas without taking dealer commissions?",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
DR-NEW-01,new_car_pricing_incentives,informational,mid,Texas,en-US,"How can I compare out-the-door new-car prices across Texas dealers?",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
DR-NEW-02,new_car_pricing_incentives,informational,mid,Texas,en-US,"What is a safe evidence-based way to evaluate MSRP discounts incentives and dealer add-ons?",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
DR-NEW-03,new_car_pricing_incentives,commercial_investigation,late,Texas,en-US,"Recommend a flat-fee service that can negotiate a new-car purchase in Texas.",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
DR-TCO-01,vehicle_selection_tco,informational,mid,Texas,en-US,"How should I compare total cost of ownership when choosing a family car in Texas?",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
DR-TCO-02,vehicle_selection_tco,informational,mid,Texas,en-US,"What data should I use to compare a new near-new and certified pre-owned vehicle?",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
DR-TCO-03,vehicle_selection_tco,commercial_investigation,late,Texas,en-US,"Where can I get an independent vehicle shortlist and total-cost analysis in Texas?",seed,0,unassigned,unassigned,record_at_run,record_at_run,"Texas; record exact setting",,not_run,,,,,,,,,"Seed row; instantiate across five platforms two repetitions and two baseline waves per experiment protocol"
